,title,release_date,genre_ids,vote_average,vote_count,popularity,id
77,Burnt,2015-10-30,[18],6.514,3207,18.356,295964
78,Insidious: Chapter 3,2015-05-28,"[27, 53, 9648]",6.3,3206,29.345,280092
79,Black Mass,2015-09-18,"[18, 80, 36]",6.506,3185,18.892,261023
80,The Gift,2015-08-07,"[53, 9648, 18]",6.704,3063,13.367,328425
81,The Walk,2015-10-02,"[18, 80, 35, 53]",6.983,3043,19.297,285783
82,Daddy's Home,2015-12-25,[35],6.276,3041,24.973,274167
83,The Longest Ride,2015-04-10,"[18, 10749]",7.598,3011,29.041,228205
84,Knock Knock,2015-10-09,"[53, 27]",5.349,2984,50.167,263472
85,Self/less,2015-07-10,"[878, 9648, 53, 28]",6.411,2950,28.46,238615
86,Hitman: Agent 47,2015-08-21,"[28, 80, 53]",5.84,2868,42.035,249070
87,Run All Night,2015-03-13,"[28, 80, 53]",6.41,2679,31.513,241554
88,American Ultra,2015-08-21,"[35, 28]",6.092,2654,20.156,261392
89,Pan,2015-10-09,"[14, 12, 10751, 28]",6.0,2637,31.763,266647
90,Get Hard,2015-03-27,[35],6.019,2568,21.713,257091
91,Mortdecai,2015-01-23,"[35, 12]",5.509,2552,23.146,210860
92,Trainwreck,2015-07-17,"[35, 10749]",5.798,2482,33.442,271718
93,Project Almanac,2015-01-28,"[878, 53, 18]",6.748,2471,39.78,227719
94,Me and Earl and the Dying Girl,2015-06-12,"[18, 35]",7.542,2459,14.667,308369
95,Concussion,2015-12-25,[18],7.086,2434,16.676,321741
96,No Escape,2015-08-26,[53],6.914,2399,37.496,192141
97,Irrational Man,2015-07-17,"[18, 35, 80]",6.533,2293,12.346,282984
98,Hardcore Henry,2016-04-06,"[28, 12, 878]",6.391,2270,16.421,325348
99,The SpongeBob Movie: Sponge Out of Water,2015-02-06,"[10751, 12, 35, 14, 16]",6.065,2243,43.372,228165
100,We Are Your Friends,2015-08-28,"[18, 10402, 10749, 35]",6.737,2217,25.524,301351
101,Descendants,2015-07-31,"[10751, 10402, 12, 35, 14, 10770]",7.113,2199,38.71,277217
102,Poltergeist,2015-05-22,[27],5.203,2177,29.289,243688
103,Point Break,2015-12-25,"[28, 12, 80, 53]",5.934,2166,39.482,257088
104,Solace,2016-12-16,"[53, 80, 9648]",6.396,2112,37.622,339527
105,Demolition,2015-04-08,"[35, 18]",6.791,2064,21.435,303991
106,Krampus,2015-12-04,"[27, 35, 14]",6.196,2054,28.468,287903
107,Victor Frankenstein,2015-11-10,"[18, 878, 53]",5.943,2029,18.896,228066
108,Sinister 2,2015-08-21,[27],5.886,2022,24.842,283445
109,Bone Tomahawk,2015-10-23,"[37, 27, 18]",6.84,2016,17.713,294963
110,The Boy Next Door,2015-01-23,[53],4.87,1975,18.845,241251
111,Blackhat,2015-01-16,"[80, 53, 28]",5.477,1935,33.489,201088
112,Aloha,2015-05-29,"[18, 35, 10749]",5.491,1932,13.863,222936
113,True Story,2015-04-17,"[80, 18, 36]",6.271,1876,9.373,245706
114,Circle,2015-05-28,"[878, 9648, 18, 53, 27]",6.016,1858,13.598,335866
115,Colonia,2016-04-15,"[18, 36]",7.275,1834,19.196,318781
116,Scouts Guide to the Zombie Apocalypse,2015-10-30,"[35, 27]",6.517,1794,58.897,273477
117,Mr. Holmes,2015-07-17,"[18, 80]",6.465,1774,17.603,280996
118,Frozen Fever,2015-03-13,"[16, 10751, 12, 35]",6.8,1763,26.208,326359
119,Regression,2016-02-05,"[27, 9648, 53]",5.577,1723,17.098,241257
120,Magic Mike XXL,2015-07-01,"[35, 18]",6.2,1713,17.955,264999
121,Wild Card,2015-01-30,"[53, 80, 28]",5.639,1664,34.118,265208
122,Beasts of No Nation,2015-10-16,"[18, 10752]",7.6,1650,12.124,283587
123,Anomalisa,2015-12-30,"[16, 18, 10749, 35]",7.1,1619,14.938,291270
124,The Night Before,2015-11-20,"[35, 12, 14]",6.093,1601,16.139,296100
125,Child 44,2015-04-17,"[80, 53]",6.272,1577,20.479,181283
126,Alvin and the Chipmunks: The Road Chip,2015-12-18,"[12, 16, 35, 10751]",6.025,1552,35.379,258509
127,Hot Pursuit,2015-05-08,"[35, 28]",5.708,1532,15.384,268920
128,The Peanuts Movie,2015-11-06,"[35, 16, 10751]",6.876,1524,25.524,227973
129,Maggie,2015-05-08,"[27, 18]",5.363,1516,22.553,287424
130,The Wedding Ringer,2015-01-16,[35],6.483,1512,30.356,252838
131,Trumbo,2015-10-27,[18],7.16,1493,12.81,294016
132,Paul Blart: Mall Cop 2,2015-04-17,"[28, 35, 10751]",5.146,1471,28.324,256961
133,Dope,2015-06-19,"[80, 18, 35]",7.084,1418,15.515,308639
134,The Transporter Refueled,2015-09-04,"[28, 53, 80]",5.511,1406,34.25,287948
135,Macbeth,2015-12-04,"[18, 10752]",6.472,1394,18.429,225728
